TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Canceled,Covered,Format,SportRadarTournamentID,Venue,Location,Par,Yards,City,State,Country,TimeZone,Purse,StartDateTime,ZipCode
514,2023 Ryder Cup,2023-09-29T00:00:00,2023-10-01T00:00:00,FALSE,FALSE,FALSE,FALSE,Team,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,The Presidents Cup,2022-09-19T00:00:00,2022-09-25T00:00:00,FALSE,FALSE,FALSE,FALSE,Team,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,TOUR Championship,2022-08-25T00:00:00,2022-08-28T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,62338479-12c5-4ef4-a473-6fea873f3e66,East Lake Golf Club,"Atlanta, GA",70,7346,Atlanta,GA,USA,America/New York,NA,NA,NA
508,BMW Championship,2022-08-18T00:00:00,2022-08-21T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,f9859515-af30-41cd-9ffe-465d1446d6e0,Wilmington Country Club (South Course),"Wilmington, DE",NA,NA,Wilmington,DE,USA,America/New York,11500000,NA,NA
507,FedEx St. Jude Championship,2022-08-11T00:00:00,2022-08-14T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,c0abe5ac-732a-4e5d-9f93-14dac6203e23,TPC Southwind,"Memphis, TN",70,7237,Memphis,TN,USA,America/Chicago,11500000,NA,NA
506,Wyndham Championship,2022-08-04T00:00:00,2022-08-07T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,0d986e18-cc3d-4391-a37c-903e9097129f,Sedgefield Country Club,"Greensboro, NC",70,7127,Greensboro,NC,USA,America/New York,7300000,NA,NA
505,Rocket Mortgage Classic,2022-07-28T00:00:00,2022-07-31T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,6f5e0381-f670-4c59-b4d5-3e6d4764d865,Detroit Golf Club,"Detroit, MI",72,7340,Detroit,MI,USA,America/New York,8400000,NA,NA
504,3M Open,2022-07-21T00:00:00,2022-07-24T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,63f720b6-845d-4f02-ad99-8688d20cbf1e,TPC Twin Cities,"Blaine, MN",71,7428,Blaine,MN,USA,America/Chicago,7500000,NA,NA
502,Barracuda Championship,2022-07-14T00:00:00,2022-07-17T00:00:00,FALSE,FALSE,FALSE,FALSE,Stableford,a8427f0b-4754-4129-9e21-708695e0de34,Tahoe Mountain Club (Old Greenwood),"Truckee, CA",NA,NA,Truckee,CA,USA,America/Los Angeles,3700000,NA,NA
503,The Open Championship,2022-07-14T00:00:00,2022-07-17T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,51968e44-03f5-424f-8e63-294996685497,St Andrews Links (Old Course),"St. Andrews, Scotland",72,7297,Fife,NA,SCO,Europe/London,NA,NA,NA
500,Barbasol Championship,2022-07-07T00:00:00,2022-07-10T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,248a26c3-2df5-4788-a5b9-32b74c343a68,Keene Trace Golf Club (Champions Course),"Nicholasville, KY",72,7328,Nicholasville,KY,USA,America/New York,3700000,NA,NA
501,Genesis Scottish Open,2022-07-07T00:00:00,2022-07-10T00:00:00,FALSE,FALSE,FALSE,FALSE,Match,c7d5285a-406a-4944-b10f-3ea29b8cbf8e,NA,NA,NA,NA,NA,NA,NA,Europe/London,8000000,NA,NA
499,John Deere Classic,2022-06-30T00:00:00,2022-07-03T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,3869c98f-68c7-4a57-822e-a358eed689db,TPC Deere Run,"Silvis, IL",71,7268,Silvis,IL,USA,America/Chicago,7100000,NA,NA
498,Travelers Championship,2022-06-23T00:00:00,2022-06-26T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,deff7db3-5f77-4486-bd55-1f894cf004d2,TPC River Highlands,"Cromwell, CT",70,6841,Cromwell,CT,USA,America/New York,8300000,NA,NA
497,U.S. Open,2022-06-16T00:00:00,2022-06-19T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,10ee49b6-e138-4926-b90f-5e54e31367bd,The Country Club,"Brookline, MA",NA,NA,Brookline,MA,USA,America/New York,NA,NA,NA
496,RBC Canadian Open,2022-06-09T00:00:00,2022-06-12T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,df2161ab-bbcf-484d-904a-a004950558e3,St. George's Golf and Country Club,"Etobicoke, ON",NA,NA,"Toronto, ON",NA,CAN,America/Toronto,8700000,NA,NA
495,the Memorial Tournament pres. by Workday,2022-06-02T00:00:00,2022-06-05T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,62ba1a0c-5aee-4ce5-ba50-56920c19b68a,Muirfield Village Golf Club,"Dublin, OH",72,7392,Dublin,OH,USA,America/New York,10500000,NA,NA
494,Charles Schwab Challenge,2022-05-26T00:00:00,2022-05-29T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,4fd5a8b9-3a56-4d8f-944f-d4c614b2f9e1,Colonial Country Club,"Fort Worth, TX",70,7209,Fort Worth,TX,USA,America/Chicago,8400000,NA,NA
493,PGA Championship,2022-05-19T00:00:00,2022-05-22T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,f130def5-5787-467d-b618-b94ca202865b,Southern Hills Country Club,"Tulsa, OK",70,7131,Tulsa,OK,NA,America/Chicago,NA,NA,NA
492,AT&T Byron Nelson,2022-05-12T00:00:00,2022-05-15T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,94836c95-51bb-4e73-816b-f360cb64d221,TPC Craig Ranch,"McKinney, TX",72,7468,McKinney,TX,USA,America/Chicago,9100000,NA,NA
491,Wells Fargo Championship,2022-05-05T00:00:00,2022-05-08T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,42b7bbc2-858a-4c0d-85dc-b30179bb5e9a,TPC Potomac at Avenel Farm,"Potomac, MD",70,7107,Potomac,MD,USA,America/New York,9000000,NA,NA
490,Mexico Championship,2022-04-28T00:00:00,2022-05-01T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,23d21333-a33e-4094-8b27-3810039d68b0,NA,NA,NA,NA,NA,NA,NA,America/Cancun,7300000,NA,NA
489,Zurich Classic of New Orleans,2022-04-21T00:00:00,2022-04-24T00:00:00,FALSE,FALSE,FALSE,FALSE,Team,eb152a6b-acce-4377-8e06-0ed858c6b0bc,TPC Louisiana,"Avondale, LA",NA,NA,Avondale,LA,USA,America/Chicago,8300000,NA,NA
488,RBC Heritage,2022-04-14T00:00:00,2022-04-17T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,ce8005c3-78ec-4f14-a9a6-032940490ea4,Harbour Town Golf Links,"Hilton Head Island, SC",71,7121,Hilton Head,SC,USA,America/New York,8000000,NA,NA
487,2022 Masters Tournament,2022-04-07T00:00:00,2022-04-10T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,6b19e7fe-40b4-4b5a-92b9-7887f4892d83,Augusta National Golf Club,"Augusta, GA",72,7475,Augusta,GA,USA,America/New York,NA,NA,NA
486,Valero Texas Open,2022-03-31T00:00:00,2022-04-03T00:00:00,FALSE,FALSE,FALSE,TRUE,Stroke,75e1f4f4-54c4-4ae2-b5d8-d8980a91370c,TPC San Antonio (Oaks Course),"San Antonio, TX",72,7494,San Antonio,TX,USA,America/Chicago,8600000,NA,NA
