player,win_prob,top_10_prob,top_25_prob,made_cut_prob,tournament,pos,predicted_pos,sg,predicted_sg
Jon Rahm,0.1595,0.521,0.7135,0.898,U.S. Open,1,1,2.0030160269060757,1.8784553273079876
Dustin Johnson,0.112,0.4095,0.6075,0.838,U.S. Open,19,2,0.9682475997221238,1.6094959156890771
Bryson DeChambeau,0.073,0.3655,0.564,0.827,U.S. Open,26,3,0.8389015463241298,1.5228365914250803
Daniel Berger,0.0595,0.3285,0.5585,0.83,U.S. Open,7,4,1.3562857599161058,1.479760738807522
Collin Morikawa,0.039,0.2945,0.52,0.811,U.S. Open,4,5,1.4856318133140998,1.365732596182127
Jordan Spieth,0.0315,0.259,0.496,0.804,U.S. Open,19,6,0.9682475997221238,1.3361840861667067
Patrick Cantlay,0.0275,0.261,0.5055,0.7975,U.S. Open,15,7,1.0975936531201178,1.3001186383181242
Xander Schauffele,0.026,0.268,0.5135,0.832,U.S. Open,7,8,1.3562857599161058,1.3113162326339138
Sam Burns,0.025,0.188,0.3825,0.7015,U.S. Open,NA,9,-0.066520827461828,1.0536375812068122
Max Homa,0.0235,0.1705,0.359,0.659,U.S. Open,NA,10,-0.5839050410538039,0.9802476672278628
Viktor Hovland,0.0235,0.243,0.4785,0.811,U.S. Open,NA,11,-0.32521293425781594,1.252282395757918
Harris English,0.0205,0.2025,0.449,0.7635,U.S. Open,3,12,1.6149778667120938,1.1764117739942008
Justin Thomas,0.0185,0.1625,0.3475,0.669,U.S. Open,19,13,0.9682475997221238,0.9913002281347971
Tyrrell Hatton,0.018,0.186,0.382,0.699,U.S. Open,NA,14,-0.32521293425781594,1.0744498243208274
Abraham Ancer,0.0165,0.2345,0.451,0.7725,U.S. Open,NA,15,-0.8425971478497919,1.221923396270386
Charley Hoffman,0.016,0.1745,0.3875,0.714,U.S. Open,57,16,-0.066520827461828,1.0566715908606263
Justin Rose,0.016,0.1755,0.3855,0.7185,U.S. Open,NA,17,-2.136057681829732,1.0585387210638326
Patrick Reed,0.0145,0.193,0.451,0.8055,U.S. Open,19,18,0.9682475997221238,1.2152437310725666
Matthew Wolff,0.014,0.093,0.222,0.4955,U.S. Open,15,19,1.0975936531201178,0.5320300107852619
Tony Finau,0.014,0.2055,0.4485,0.796,U.S. Open,NA,20,-0.8425971478497919,1.212492563706987
Cameron Smith,0.0135,0.1365,0.3205,0.6685,U.S. Open,NA,21,-0.066520827461828,0.9390040890989583
Corey Conners,0.012,0.173,0.3855,0.7145,U.S. Open,NA,22,-0.32521293425781594,1.0807798613256987
Webb Simpson,0.0115,0.1955,0.452,0.803,U.S. Open,NA,23,-1.3599813614417675,1.195047503736277
Will Zalatoris,0.0115,0.18,0.456,0.8145,U.S. Open,NA,24,-0.5839050410538039,1.1722254764255864
Kyoung-Hoon Lee,0.011,0.1285,0.2965,0.63,U.S. Open,NA,25,-2.136057681829732,0.8318836841981343
Si Woo Kim,0.0105,0.1145,0.2615,0.576,U.S. Open,40,26,0.4508633861301479,0.7228942423530271
Stewart Cink,0.0105,0.156,0.375,0.753,U.S. Open,57,27,-0.066520827461828,1.0916516450983138
Jason Kokrak,0.009,0.147,0.354,0.7055,U.S. Open,NA,28,-1.1012892546457798,1.0275589136005003
Paul Casey,0.0085,0.148,0.367,0.733,U.S. Open,7,29,1.3562857599161058,1.0622958252539125
Rory McIlroy,0.0085,0.1635,0.38,0.746,U.S. Open,7,30,1.3562857599161058,1.072273310827603
Shane Lowry,0.008,0.105,0.2825,0.62,U.S. Open,65,31,-0.45455898765580993,0.8038839512498157
TaylorÊPendrith,0.008,0.0555,0.162,0.551,U.S. Open,NA,32,-0.066520827461828,0.5821111700399009
Ryan Palmer,0.0075,0.101,0.2685,0.6205,U.S. Open,NA,33,-0.8425971478497919,0.7817146075970635
Lee Westwood,0.007,0.1195,0.2955,0.623,U.S. Open,46,34,0.32151733273215394,0.8478933336956196
GreysonÊSigg,0.0065,0.053,0.1505,0.4505,U.S. Open,NA,35,-0.195866880859822,0.4037725947309873
Marc Leishman,0.0065,0.0885,0.2245,0.5825,U.S. Open,64,36,-0.32521293425781594,0.696905924260911
Jhonattan Vegas,0.005,0.089,0.2865,0.655,U.S. Open,57,37,-0.066520827461828,0.8334001065092376
Justin Suh,0.005,0.071,0.2035,0.5405,U.S. Open,NA,38,-1.3599813614417675,0.5618270159441022
Branden Grace,0.0045,0.0695,0.219,0.5705,U.S. Open,7,39,1.3562857599161058,0.7025509019039029
Kevin Kisner,0.0045,0.0855,0.2265,0.573,U.S. Open,55,40,0.06282522593616599,0.657695915381644
Louis Oosthuizen,0.0045,0.1035,0.3025,0.6915,U.S. Open,2,41,1.8736699735080815,0.8904903603580864
Matt Wallace,0.0045,0.1115,0.2875,0.6545,U.S. Open,NA,42,-0.32521293425781594,0.8931768685585294
Scottie Scheffler,0.0045,0.14,0.374,0.7455,U.S. Open,7,43,1.3562857599161058,1.0221935212083606
Brooks Koepka,0.004,0.0755,0.2255,0.611,U.S. Open,4,44,1.4856318133140998,0.6793414439012765
Gary Woodland,0.004,0.0815,0.244,0.6235,U.S. Open,50,45,0.19217127933415995,0.7787780729720253
Brendon Todd,0.0035,0.082,0.2265,0.559,U.S. Open,NA,46,-0.5839050410538039,0.6678556380014836
Brian Harman,0.0035,0.0975,0.272,0.661,U.S. Open,19,47,0.9682475997221238,0.8638367449360771
Francesco Molinari,0.0035,0.0485,0.167,0.487,U.S. Open,13,48,1.2269397065181118,0.490246273867449
Joaquin Niemann,0.003,0.077,0.226,0.612,U.S. Open,31,49,0.7095554929261358,0.7387713108827261
Matt Jones,0.003,0.0815,0.2565,0.6545,U.S. Open,65,50,-0.45455898765580993,0.8111869580143671
Sahith Theegala,0.003,0.029,0.1065,0.416,U.S. Open,NA,51,-0.5839050410538039,0.24219389880450748
Sergio Garcia,0.003,0.0595,0.1905,0.5445,U.S. Open,19,52,0.9682475997221238,0.5949259348762649
Victor Perez,0.003,0.0255,0.0945,0.3325,U.S. Open,NA,53,-0.8425971478497919,0.05009583679961287
Adam Scott,0.0025,0.067,0.222,0.614,U.S. Open,35,54,0.5802094395281419,0.7298469757590691
Carlos Ortiz,0.0025,0.0755,0.246,0.6245,U.S. Open,NA,55,-0.32521293425781594,0.7356038406828537
DylanÊMeyer,0.0025,0.028,0.088,0.3125,U.S. Open,NA,56,-2.39474978862572,-0.0495157578722
Matthew Fitzpatrick,0.0025,0.117,0.354,0.751,U.S. Open,55,57,0.06282522593616599,1.0078079591609987
Billy Horschel,0.002,0.078,0.229,0.5935,U.S. Open,NA,58,-0.5839050410538039,0.6966916239551195
Christiaan Bezuidenhout,0.002,0.0815,0.281,0.7065,U.S. Open,31,59,0.7095554929261358,0.8253639992388316
Hideki Matsuyama,0.002,0.0815,0.3055,0.7555,U.S. Open,26,60,0.8389015463241298,0.9172830141548726
Kevin Na,0.002,0.0595,0.185,0.552,U.S. Open,NA,NA,-0.8425971478497919,0.5551568661700881
Robert MacIntyre,0.002,0.016,0.094,0.4495,U.S. Open,35,NA,0.5802094395281419,0.3494433527020546
Akshay Bhatia,0.0015,0.0285,0.1125,0.4415,U.S. Open,57,NA,-0.066520827461828,0.3331178382577059
